section,key,value,unit,label,r_m,dp,dp_unit,v,v_unit
meta,group,3,,,,,,,
meta,lab_date,14.04.2026,,,,,,,
meta,receive_date,21.04.2026,,,,,,,
meta,topic,WYZNACZENIE ROZKLADU PREDKOSCI STRUGI W KANALE,,,,,,,
meta,names,"Patryk Koz?owski, Oliwier Kruczek,",,,,,,,
meta,grade_notes,,,,,,,,
meta,t,24.0,C,,,,,,
meta,pb,749,mmHg,,,,,,
meta,rh,50,percent,,,,,,
meta,d,160,mm,,,,,,
meta,ps,19,Pa,,,,,,
meta,r_unit,m,,,,,,,
meta,log_include_axis,nie,,,,,,,
meta,prandtl_n,,,,,,,,
log,,,,3g,0.075,51,Pa,,
log,,,,2g,0.055,62,Pa,,
log,,,,1g,0.025,67,Pa,,
log,,,,0,0,68.5,Pa,,
log,,,,1d,-0.025,72.5,Pa,,
log,,,,2d,-0.056,67,Pa,,
log,,,,3d,-0.075,38,Pa,,
profile,,,,7g,0.07,62,Pa,,
profile,,,,6g,0.06,64,Pa,,
profile,,,,5g,0.05,67.5,Pa,,
profile,,,,4g,0.04,68.5,Pa,,
profile,,,,3g,0.03,70,Pa,,
profile,,,,2g,0.02,68.5,Pa,,
profile,,,,1g,0.01,69.5,Pa,,
profile,,,,0,0,72.5,Pa,,
profile,,,,1d,-0.01,74,Pa,,
profile,,,,2d,-0.02,72.5,Pa,,
profile,,,,3d,-0.03,73.5,Pa,,
profile,,,,4d,-0.04,74,Pa,,
profile,,,,5d,-0.05,73.5,Pa,,
profile,,,,6d,-0.06,67,Pa,,
profile,,,,7d,-0.07,53,Pa,,
