czas [s]	T2 [C]	T3 [C]	T4 [C]	T6 [C]	T8 [C]
0.000000	23.950000	22.100000	21.430000	23.610000	22.610000
1.000000	23.950000	22.100000	21.430000	23.610000	22.610000
2.000000	23.210000	23.180000	22.160000	22.840000	22.910000
3.000000	23.440000	23.590000	23.040000	22.140000	22.500000
4.000000	24.480000	22.950000	21.470000	22.050000	22.810000
5.000000	24.030000	23.500000	23.000000	21.940000	23.390000
6.000000	24.010000	22.120000	21.260000	23.280000	23.890000
7.000000	24.650000	23.390000	23.020000	23.380000	22.520000
8.000000	25.240000	23.360000	22.360000	23.550000	23.500000
9.000000	25.300000	22.290000	22.980000	22.700000	23.680000
10.000000	24.720000	23.240000	21.970000	23.600000	23.300000
11.000000	25.890000	23.700000	21.190000	21.960000	22.460000
12.000000	26.560000	22.280000	21.840000	22.400000	22.400000
13.000000	27.270000	22.670000	22.030000	22.840000	23.460000
14.000000	27.880000	23.040000	21.310000	23.400000	23.830000
15.000000	28.910000	22.390000	21.400000	23.550000	22.880000
16.000000	28.200000	22.620000	22.000000	23.320000	22.560000
17.000000	28.020000	21.930000	22.040000	23.030000	22.670000
18.000000	29.960000	22.460000	22.420000	22.100000	23.480000
19.000000	29.400000	23.160000	23.080000	23.680000	24.080000
20.000000	30.730000	21.850000	21.880000	22.370000	24.240000
21.000000	31.210000	21.800000	21.820000	22.240000	22.440000
22.000000	30.590000	21.310000	21.290000	23.180000	22.860000
23.000000	31.320000	21.560000	21.840000	23.350000	23.870000
24.000000	32.260000	22.810000	21.390000	22.960000	23.550000
25.000000	32.750000	21.930000	22.740000	23.620000	23.030000
26.000000	33.770000	22.110000	22.240000	21.990000	23.140000
27.000000	35.010000	21.230000	21.550000	22.540000	23.840000
28.000000	33.720000	21.920000	22.260000	22.660000	23.890000
29.000000	35.150000	22.110000	21.520000	21.740000	23.250000
30.000000	35.930000	21.650000	21.550000	21.820000	22.940000
31.000000	36.020000	22.900000	22.420000	23.210000	23.880000
32.000000	36.770000	22.180000	21.960000	21.780000	23.110000
33.000000	36.570000	21.790000	22.540000	22.450000	24.200000
34.000000	37.580000	23.140000	22.610000	22.270000	22.520000
35.000000	37.320000	22.270000	21.960000	23.440000	24.070000
36.000000	38.250000	23.290000	22.660000	23.630000	23.120000
37.000000	39.570000	23.520000	21.700000	23.160000	24.130000
38.000000	38.950000	23.620000	22.320000	22.040000	22.660000
39.000000	40.490000	22.050000	22.290000	23.360000	22.290000
40.000000	41.140000	21.770000	21.620000	23.750000	24.070000
41.000000	41.800000	23.130000	22.390000	22.440000	22.580000
42.000000	41.380000	23.230000	21.970000	23.110000	22.610000
43.000000	41.710000	23.370000	21.100000	23.000000	23.280000
44.000000	42.710000	22.900000	21.390000	22.640000	23.910000
45.000000	42.540000	22.420000	22.920000	23.690000	23.450000
46.000000	43.020000	23.330000	22.220000	22.210000	22.460000
47.000000	44.970000	22.970000	21.900000	22.100000	23.540000
48.000000	45.010000	22.910000	22.500000	23.000000	23.600000
49.000000	45.190000	21.690000	22.630000	22.340000	23.470000
50.000000	46.600000	23.010000	22.850000	23.530000	22.860000
51.000000	45.940000	21.750000	21.000000	22.330000	23.830000
52.000000	47.300000	22.640000	22.860000	23.080000	22.790000
53.000000	46.350000	21.660000	22.040000	22.370000	22.710000
54.000000	46.940000	23.090000	22.720000	23.470000	22.690000
55.000000	47.240000	22.390000	21.240000	23.500000	22.890000
56.000000	48.320000	22.110000	21.450000	23.410000	23.450000
57.000000	48.920000	23.140000	22.620000	22.430000	24.120000
58.000000	48.490000	21.440000	21.280000	22.230000	23.530000
59.000000	49.740000	21.310000	21.160000	23.480000	22.960000
60.000000	51.120000	23.250000	22.490000	23.740000	22.480000
61.000000	51.090000	22.320000	21.770000	22.500000	23.140000
62.000000	50.280000	23.210000	21.570000	23.440000	22.480000
63.000000	50.870000	21.990000	21.920000	23.350000	22.960000
64.000000	52.890000	22.890000	22.390000	23.380000	23.890000
65.000000	52.580000	21.840000	21.620000	22.210000	24.020000
66.000000	53.040000	22.580000	22.670000	22.200000	22.330000
67.000000	54.150000	22.500000	21.190000	23.710000	22.970000
68.000000	53.730000	22.870000	22.650000	23.330000	22.580000
69.000000	53.190000	22.910000	21.440000	22.720000	22.550000
70.000000	53.880000	21.430000	22.490000	23.470000	23.390000
71.000000	54.350000	22.520000	21.850000	22.570000	24.220000
72.000000	56.100000	22.650000	21.900000	23.300000	23.190000
73.000000	55.760000	22.570000	21.860000	22.970000	24.170000
74.000000	56.110000	22.310000	21.340000	22.370000	23.080000
75.000000	56.300000	21.580000	22.270000	22.900000	23.980000
76.000000	56.540000	22.930000	22.060000	22.640000	23.550000
77.000000	57.180000	23.770000	20.800000	23.510000	23.370000
78.000000	58.790000	23.060000	21.350000	23.630000	22.550000
79.000000	58.950000	23.880000	21.000000	22.610000	24.230000
80.000000	59.210000	23.220000	21.230000	22.700000	22.530000
81.000000	59.410000	23.520000	21.810000	22.930000	23.310000
82.000000	58.440000	24.420000	22.100000	21.900000	23.170000
83.000000	59.760000	24.230000	21.810000	22.490000	22.810000
84.000000	60.670000	23.720000	21.730000	23.290000	22.330000
85.000000	59.580000	24.970000	22.250000	22.720000	23.100000
86.000000	59.940000	23.150000	21.330000	23.170000	23.110000
87.000000	62.130000	24.680000	20.860000	22.130000	24.000000
88.000000	60.930000	24.890000	22.260000	22.270000	22.840000
89.000000	61.390000	25.170000	21.770000	22.310000	22.810000
90.000000	63.090000	24.160000	22.460000	22.520000	23.380000
91.000000	62.110000	24.340000	21.230000	22.320000	23.370000
92.000000	63.640000	24.240000	21.150000	22.870000	23.210000
93.000000	64.310000	24.290000	22.780000	21.870000	23.900000
94.000000	62.910000	24.980000	22.200000	22.560000	23.490000
95.000000	64.060000	26.020000	22.690000	22.090000	23.070000
96.000000	64.040000	26.190000	21.190000	22.190000	23.250000
97.000000	64.590000	24.910000	22.880000	22.030000	23.390000
98.000000	64.370000	26.660000	21.150000	23.610000	22.720000
99.000000	65.330000	26.070000	22.440000	23.390000	22.480000
100.000000	66.550000	25.880000	23.010000	22.030000	23.640000
101.000000	66.030000	26.750000	21.820000	22.410000	23.230000
102.000000	67.510000	27.440000	22.780000	22.740000	23.010000
103.000000	67.840000	25.980000	21.780000	22.000000	23.360000
104.000000	67.080000	27.390000	21.710000	23.360000	23.340000
105.000000	68.340000	27.340000	23.160000	23.070000	22.890000
106.000000	68.050000	27.210000	21.330000	22.300000	24.220000
107.000000	69.140000	26.960000	21.890000	23.430000	23.270000
108.000000	69.770000	28.710000	21.370000	23.460000	24.030000
109.000000	69.540000	27.190000	21.710000	22.540000	23.700000
110.000000	70.380000	28.930000	21.840000	23.730000	23.770000
111.000000	69.550000	27.640000	22.650000	22.910000	22.630000
112.000000	70.310000	28.320000	21.970000	22.250000	22.600000
113.000000	70.660000	28.320000	21.880000	22.800000	23.880000
114.000000	70.140000	29.660000	23.330000	22.620000	24.230000
115.000000	70.470000	29.950000	22.430000	22.570000	22.930000
116.000000	70.740000	28.460000	22.920000	23.620000	23.700000
117.000000	72.700000	29.310000	21.700000	23.530000	24.070000
118.000000	72.720000	28.660000	22.160000	22.900000	23.640000
119.000000	72.240000	30.140000	22.070000	23.380000	23.000000
