Temat	6		Q=	60	W
czas, s	T2	T3	T4	T6	T8
0	23,95	22,10	21,43	23,61	22,61
1	23,95	22,10	21,43	23,61	22,61
2	23,21	23,18	22,16	22,84	22,91
3	23,44	23,59	23,04	22,14	22,50
4	24,48	22,95	21,47	22,05	22,81
5	24,03	23,50	23,00	21,94	23,39
6	24,01	22,12	21,26	23,28	23,89
7	24,65	23,39	23,02	23,38	22,52
8	25,24	23,36	22,36	23,55	23,50
9	25,30	22,29	22,98	22,70	23,68
10	24,72	23,24	21,97	23,60	23,30
11	25,89	23,70	21,19	21,96	22,46
12	26,56	22,28	21,84	22,40	22,40
13	27,27	22,67	22,03	22,84	23,46
14	27,88	23,04	21,31	23,40	23,83
15	28,91	22,39	21,40	23,55	22,88
16	28,20	22,62	22,00	23,32	22,56
17	28,02	21,93	22,04	23,03	22,67
18	29,96	22,46	22,42	22,10	23,48
19	29,40	23,16	23,08	23,68	24,08
20	30,73	21,85	21,88	22,37	24,24
21	31,21	21,80	21,82	22,24	22,44
22	30,59	21,31	21,29	23,18	22,86
23	31,32	21,56	21,84	23,35	23,87
24	32,26	22,81	21,39	22,96	23,55
25	32,75	21,93	22,74	23,62	23,03
26	33,77	22,11	22,24	21,99	23,14
27	35,01	21,23	21,55	22,54	23,84
28	33,72	21,92	22,26	22,66	23,89
29	35,15	22,11	21,52	21,74	23,25
30	35,93	21,65	21,55	21,82	22,94
31	36,02	22,90	22,42	23,21	23,88
32	36,77	22,18	21,96	21,78	23,11
33	36,57	21,79	22,54	22,45	24,20
34	37,58	23,14	22,61	22,27	22,52
35	37,32	22,27	21,96	23,44	24,07
36	38,25	23,29	22,66	23,63	23,12
37	39,57	23,52	21,70	23,16	24,13
38	38,95	23,62	22,32	22,04	22,66
39	40,49	22,05	22,29	23,36	22,29
40	41,14	21,77	21,62	23,75	24,07
41	41,80	23,13	22,39	22,44	22,58
42	41,38	23,23	21,97	23,11	22,61
43	41,71	23,37	21,10	23,00	23,28
44	42,71	22,90	21,39	22,64	23,91
45	42,54	22,42	22,92	23,69	23,45
46	43,02	23,33	22,22	22,21	22,46
47	44,97	22,97	21,90	22,10	23,54
48	45,01	22,91	22,50	23,00	23,60
49	45,19	21,69	22,63	22,34	23,47
50	46,60	23,01	22,85	23,53	22,86
51	45,94	21,75	21,00	22,33	23,83
52	47,30	22,64	22,86	23,08	22,79
53	46,35	21,66	22,04	22,37	22,71
54	46,94	23,09	22,72	23,47	22,69
55	47,24	22,39	21,24	23,50	22,89
56	48,32	22,11	21,45	23,41	23,45
57	48,92	23,14	22,62	22,43	24,12
58	48,49	21,44	21,28	22,23	23,53
59	49,74	21,31	21,16	23,48	22,96
60	51,12	23,25	22,49	23,74	22,48
61	51,09	22,32	21,77	22,50	23,14
62	50,28	23,21	21,57	23,44	22,48
63	50,87	21,99	21,92	23,35	22,96
64	52,89	22,89	22,39	23,38	23,89
65	52,58	21,84	21,62	22,21	24,02
66	53,04	22,58	22,67	22,20	22,33
67	54,15	22,50	21,19	23,71	22,97
68	53,73	22,87	22,65	23,33	22,58
69	53,19	22,91	21,44	22,72	22,55
70	53,88	21,43	22,49	23,47	23,39
71	54,35	22,52	21,85	22,57	24,22
72	56,10	22,65	21,90	23,30	23,19
73	55,76	22,57	21,86	22,97	24,17
74	56,11	22,31	21,34	22,37	23,08
75	56,30	21,58	22,27	22,90	23,98
76	56,54	22,93	22,06	22,64	23,55
77	57,18	23,77	20,80	23,51	23,37
78	58,79	23,06	21,35	23,63	22,55
79	58,95	23,88	21,00	22,61	24,23
80	59,21	23,22	21,23	22,70	22,53
81	59,41	23,52	21,81	22,93	23,31
82	58,44	24,42	22,10	21,90	23,17
83	59,76	24,23	21,81	22,49	22,81
84	60,67	23,72	21,73	23,29	22,33
85	59,58	24,97	22,25	22,72	23,10
86	59,94	23,15	21,33	23,17	23,11
87	62,13	24,68	20,86	22,13	24,00
88	60,93	24,89	22,26	22,27	22,84
89	61,39	25,17	21,77	22,31	22,81
90	63,09	24,16	22,46	22,52	23,38
91	62,11	24,34	21,23	22,32	23,37
92	63,64	24,24	21,15	22,87	23,21
93	64,31	24,29	22,78	21,87	23,90
94	62,91	24,98	22,20	22,56	23,49
95	64,06	26,02	22,69	22,09	23,07
96	64,04	26,19	21,19	22,19	23,25
97	64,59	24,91	22,88	22,03	23,39
98	64,37	26,66	21,15	23,61	22,72
99	65,33	26,07	22,44	23,39	22,48
100	66,55	25,88	23,01	22,03	23,64
101	66,03	26,75	21,82	22,41	23,23
102	67,51	27,44	22,78	22,74	23,01
103	67,84	25,98	21,78	22,00	23,36
104	67,08	27,39	21,71	23,36	23,34
105	68,34	27,34	23,16	23,07	22,89
106	68,05	27,21	21,33	22,30	24,22
107	69,14	26,96	21,89	23,43	23,27
108	69,77	28,71	21,37	23,46	24,03
109	69,54	27,19	21,71	22,54	23,70
110	70,38	28,93	21,84	23,73	23,77
111	69,55	27,64	22,65	22,91	22,63
112	70,31	28,32	21,97	22,25	22,60
113	70,66	28,32	21,88	22,80	23,88
114	70,14	29,66	23,33	22,62	24,23
115	70,47	29,95	22,43	22,57	22,93
116	70,74	28,46	22,92	23,62	23,70
117	72,70	29,31	21,70	23,53	24,07
118	72,72	28,66	22,16	22,90	23,64
119	72,24	30,14	22,07	23,38	23,00
120	73,24	30,70	23,55	22,52	23,66
121	73,36	30,85	23,19	22,17	23,48
122	72,70	30,01	23,70	23,10	22,54
123	74,49	31,25	23,04	21,92	23,88
124	74,44	29,61	22,14	22,40	22,84
125	75,45	31,03	23,05	22,72	23,04
126	74,01	30,33	23,29	22,89	23,04
127	75,18	32,14	22,19	21,74	23,72
128	75,68	30,52	23,85	21,74	23,90
129	75,00	30,95	22,42	23,36	23,51
130	76,80	32,34	22,44	22,40	24,15
131	76,64	32,07	22,94	22,15	23,78
132	76,76	32,97	22,67	22,12	22,74
133	76,52	31,95	22,31	21,92	23,52
134	78,22	32,02	23,49	23,22	23,91
135	78,30	32,78	22,36	23,17	22,73
136	78,86	32,29	23,69	22,88	23,53
137	78,36	33,46	22,65	22,41	22,41
138	78,90	32,58	23,81	23,46	23,74
139	79,50	32,52	24,42	23,25	24,05
140	79,30	34,27	24,11	23,28	22,60
141	78,46	34,46	22,83	22,02	23,57
142	79,93	33,43	23,04	22,40	22,48
143	79,65	35,02	23,88	23,43	24,12
144	79,92	34,87	24,08	22,57	23,82
145	81,13	33,54	23,54	22,51	22,59
146	80,79	34,01	23,46	21,62	23,13
147	81,25	35,73	23,80	22,03	23,33
148	82,04	35,17	22,98	23,28	24,15
149	81,05	34,81	23,80	23,17	22,72
150	81,15	36,30	23,69	22,48	23,75
151	82,52	36,40	24,91	21,85	23,47
152	82,05	35,74	23,79	22,65	24,00
153	82,47	36,19	24,60	23,04	23,33
154	83,69	35,85	24,15	21,93	24,07
155	83,51	36,67	23,95	22,65	22,51
156	83,29	35,56	24,94	22,59	23,52
157	84,64	37,07	24,13	21,56	24,13
158	84,24	37,50	23,87	21,82	23,40
159	85,22	37,93	24,69	23,31	23,62
160	84,55	36,97	23,87	23,36	22,74
161	84,94	38,15	24,55	21,69	22,92
162	84,56	38,61	23,82	22,29	22,45
163	85,09	38,24	24,32	21,49	23,02
